timestamp,ch0,ch1
3708455.054,-38,679
3708455.054,-54,696
3708455.06,-131,696
3708455.06,-155,682
3708455.062,-155,618
3708455.062,-137,600
3708455.068,-60,600
3708455.068,-38,615
3708455.077,-37,678
3708455.077,-54,697
3708455.086,-131,697
3708455.086,-154,682
3708455.093,-156,619
3708455.093,-139,601
3708455.1,-61,601
3708455.1,-38,616
3708455.109,-35,680
3708455.109,-53,698
3708455.12,-129,698
3708455.12,-152,683
3708455.124,-154,620
3708455.124,-135,603
3708455.132,-60,603
3708455.132,-36,617
3708455.151,-34,680
3708455.151,-54,697
3708455.151,-129,697
3708455.151,-152,682
3708455.156,-153,618
3708455.156,-138,599
3708455.165,-61,598
3708455.165,-39,613
3708455.172,-37,677
3708455.172,-53,694
3708455.18,-130,696
3708455.18,-153,680
3708455.194,-156,617
3708455.194,-137,600
3708455.194,-60,600
3708455.194,-37,615
3708455.206,-36,679
3708455.206,-52,696
3708455.213,-128,696
3708455.213,-152,681
3708455.219,-154,617
3708455.219,-138,600
3708455.228,-60,600
3708455.228,-35,615
3708455.237,-35,678
3708455.237,-51,694
3708455.244,-129,695
3708455.244,-155,680
3708455.251,-155,616
3708455.251,-137,599
3708455.27,-60,600
3708455.27,-36,615
3708455.27,-35,677
3708455.27,-52,695
3708455.276,-130,695
3708455.276,-155,681
3708455.286,-156,617
3708455.286,-139,599
3708455.291,-61,599
3708455.291,-38,614
3708455.319,-37,677
3708455.319,-55,695
3708455.333,-129,695
3708455.333,-154,680
3708455.333,-155,616
3708455.333,-137,599
3708455.333,-60,599
3708455.333,-38,613
3708455.334,-36,677
3708455.334,-52,695
3708455.339,-129,698
3708455.339,-153,686
3708455.348,-154,622
3708455.348,-137,605
3708455.356,-62,610
3708455.356,-37,631
3708455.362,-36,699
3708455.362,-55,721
3708455.372,-130,728
3708455.372,-153,718
3708455.383,-155,660
3708455.383,-139,647
3708455.387,-62,649
3708455.387,-38,667
3708455.396,-37,734
3708455.396,-54,754
3708455.41,-131,758
3708455.41,-156,745
3708455.411,-156,683
3708455.411,-138,666
3708455.419,-64,667
3708455.419,-38,683
3708455.427,-38,747
3708455.427,-54,764
3708455.446,-128,765
3708455.446,-154,749
3708455.446,-153,684
3708455.446,-136,665
3708455.453,-59,664
3708455.453,-36,679
3708455.459,-35,743
3708455.459,-50,759
3708455.47,-128,759
3708455.47,-151,744
3708455.477,-149,681
3708455.477,-133,663
3708455.483,-58,663
3708455.483,-34,678
3708455.492,-34,741
3708455.492,-52,758
3708455.501,-129,759
3708455.501,-152,744
3708455.507,-152,680
3708455.507,-138,662
3708455.515,-61,662
3708455.515,-37,678
3708455.523,-35,740
3708455.523,-51,758
3708455.532,-130,758
3708455.532,-151,743
3708455.54,-152,680
3708455.54,-136,662
3708455.551,-59,662
3708455.551,-35,678
3708455.557,-34,741
3708455.557,-51,758
3708455.566,-127,757
3708455.566,-151,742
3708455.572,-151,679
3708455.572,-133,661
3708455.591,-57,661
3708455.591,-34,676
3708455.591,-32,739
3708455.591,-49,757
3708455.596,-127,757
3708455.596,-154,741
3708455.622,-156,678
3708455.622,-138,661
3708455.632,-63,661
3708455.632,-40,676
3708455.633,-39,739
3708455.633,-55,757
3708455.634,-131,757
3708455.634,-155,742
3708455.638,-156,677
3708455.638,-138,660
3708455.644,-61,660
3708455.644,-36,675
3708455.653,-36,739
3708455.653,-52,757
3708455.659,-128,757
3708455.659,-151,741
3708455.668,-150,676
3708455.668,-133,659
3708455.677,-57,660
3708455.677,-36,675
3708455.682,-35,738
3708455.682,-51,756
3708455.691,-127,756
3708455.691,-152,741
3708455.71,-151,677
3708455.71,-133,659
3708455.71,-56,659
3708455.71,-31,675
3708455.716,-31,738
3708455.716,-48,755
3708455.729,-125,755
3708455.729,-150,740
3708455.731,-148,677
3708455.731,-133,659
3708455.743,-59,659
3708455.743,-33,673
3708455.749,-32,736
3708455.749,-49,754
3708455.755,-125,754
3708455.755,-150,739
3708455.764,-150,676
3708455.764,-132,658
3708455.773,-55,658
3708455.773,-34,673
3708455.779,-32,737
3708455.779,-48,754
3708455.787,-124,754
3708455.787,-149,740
3708455.797,-150,676
3708455.797,-133,659
3708455.806,-56,659
3708455.806,-31,673
3708455.812,-32,738
3708455.812,-49,754
3708455.821,-127,755
3708455.821,-149,740
3708455.83,-148,675
3708455.83,-133,659
3708455.836,-57,658
3708455.836,-32,674
3708455.845,-31,738
3708455.845,-48,756
3708455.862,-124,755
3708455.862,-150,741
3708455.862,-150,677
3708455.862,-133,659
3708455.866,-54,658
3708455.866,-31,674
3708455.875,-31,738
3708455.875,-47,755
3708455.884,-123,755
3708455.884,-147,743
3708455.895,-149,680
3708455.895,-132,662
3708455.919,-54,661
3708455.919,-30,679
3708455.932,-28,743
3708455.932,-46,763
3708455.933,-121,764
3708455.933,-148,749
3708455.936,-150,687
3708455.936,-131,670
3708455.938,-54,672
3708455.938,-30,687
3708455.939,-30,751
3708455.939,-49,769
3708455.947,-126,768
3708455.947,-149,754
3708455.955,-152,690
3708455.955,-134,672
3708455.973,-57,671
3708455.973,-33,687
3708455.973,-31,750
3708455.973,-49,766
3708455.978,-126,765
3708455.979,-148,749
3708455.987,-150,685
3708455.987,-134,666
3708455.996,-58,666
3708455.996,-32,680
3708456.005,-30,743
3708456.005,-46,760
3708456.014,-124,759
3708456.014,-147,745
3708456.019,-149,681
3708456.019,-132,663
3708456.029,-55,664
3708456.029,-30,680
3708456.038,-28,742
3708456.038,-49,760
3708456.043,-123,760
3708456.043,-145,746
3708456.052,-146,682
3708456.052,-129,664
3708456.063,-53,663
3708456.063,-30,679
3708456.067,-29,743
3708456.067,-45,759
3708456.077,-121,759
3708456.077,-147,744
3708456.084,-149,680
3708456.084,-130,662
3708456.093,-52,662
3708456.093,-29,678
3708456.098,-28,742
3708456.098,-47,760
3708456.108,-122,760
