# participant_id: Vert
# gesture: custom
# trial_number: 3
# stream_name: BioRadio_Configuration
# timestamp: 20260430_100237
# samples: 14460
# duration_sec: 57.830
# nominal_sample_rate: 250.0
# effective_sample_rate: 250.02
#
timestamp,EMG1,GSR2
3708619.583569,815.000000,1.000000
3708619.583575,832.000000,1.000000
3708619.588671,832.000000,1.000000
3708619.588676,817.000000,1.000000
3708619.597478,753.000000,1.000000
3708619.597482,735.000000,1.000000
3708619.606296,736.000000,1.000000
3708619.606302,751.000000,1.000000
3708619.615110,815.000000,1.000000
3708619.615116,832.000000,1.000000
3708619.621487,833.000000,1.000000
3708619.621493,817.000000,1.000000
3708619.629048,753.000000,1.000000
3708619.629051,736.000000,1.000000
3708619.637859,735.000000,1.000000
3708619.637864,749.000000,1.000000
3708619.649192,814.000000,1.000000
3708619.649197,832.000000,1.000000
3708619.651751,831.000000,1.000000
3708619.651755,816.000000,1.000000
3708619.665581,753.000000,1.000000
3708619.665586,734.000000,1.000000
3708619.669387,734.000000,1.000000
3708619.669393,750.000000,1.000000
3708619.678199,817.000000,1.000000
3708619.678202,833.000000,1.000000
3708619.685776,833.000000,1.000000
3708619.685781,818.000000,1.000000
3708619.692087,753.000000,1.000000
3708619.692090,736.000000,1.000000
3708619.721048,735.000000,1.000000
3708619.721085,751.000000,1.000000
3708619.734945,814.000000,1.000000
3708619.734953,831.000000,1.000000
3708619.736220,832.000000,1.000000
3708619.736227,818.000000,1.000000
3708619.737493,754.000000,1.000000
3708619.737500,736.000000,1.000000
3708619.739936,735.000000,1.000000
3708619.739940,749.000000,1.000000
3708619.741207,813.000000,1.000000
3708619.741213,832.000000,1.000000
3708619.748772,831.000000,1.000000
3708619.748778,818.000000,1.000000
3708619.757681,753.000000,1.000000
3708619.757686,735.000000,1.000000
3708619.765366,735.000000,1.000000
3708619.765369,750.000000,1.000000
3708619.775430,814.000000,1.000000
3708619.775433,831.000000,1.000000
3708619.781781,832.000000,1.000000
3708619.781795,817.000000,1.000000
3708619.790676,753.000000,1.000000
3708619.790694,735.000000,1.000000
3708619.809583,735.000000,1.000000
3708619.809587,749.000000,1.000000
3708619.809596,815.000000,1.000000
3708619.809597,832.000000,1.000000
3708619.814641,833.000000,1.000000
3708619.814644,817.000000,1.000000
3708619.820939,754.000000,1.000000
3708619.820943,737.000000,1.000000
3708619.829750,735.000000,1.000000
3708619.829756,750.000000,1.000000
3708619.838571,815.000000,1.000000
3708619.838577,831.000000,1.000000
3708619.844879,832.000000,1.000000
3708619.844885,817.000000,1.000000
3708619.853725,753.000000,1.000000
3708619.853729,737.000000,1.000000
3708619.862541,735.000000,1.000000
3708619.862547,750.000000,1.000000
3708619.868841,814.000000,1.000000
3708619.868847,831.000000,1.000000
3708619.877654,832.000000,1.000000
3708619.877660,816.000000,1.000000
3708619.885241,753.000000,1.000000
3708619.885245,735.000000,1.000000
3708619.896576,736.000000,1.000000
3708619.896583,751.000000,1.000000
3708619.900361,813.000000,1.000000
3708619.900364,831.000000,1.000000
3708619.911600,831.000000,1.000000
3708619.911607,816.000000,1.000000
3708619.920422,751.000000,1.000000
3708619.920426,734.000000,1.000000
3708619.925467,734.000000,1.000000
3708619.925470,750.000000,1.000000
3708619.934280,815.000000,1.000000
3708619.934286,832.000000,1.000000
3708619.951974,831.000000,1.000000
3708619.951981,815.000000,1.000000
3708619.951987,753.000000,1.000000
3708619.951989,737.000000,1.000000
3708619.958284,736.000000,1.000000
3708619.958287,749.000000,1.000000
3708619.964574,811.000000,1.000000
3708619.964577,831.000000,1.000000
3708619.973391,831.000000,1.000000
3708619.973397,816.000000,1.000000
3708619.984725,754.000000,1.000000
3708619.984728,736.000000,1.000000
3708619.988430,734.000000,1.000000
3708619.988435,750.000000,1.000000
3708619.998506,814.000000,1.000000
3708619.998511,830.000000,1.000000
3708620.021058,830.000000,1.000000
3708620.021063,815.000000,1.000000
3708620.034912,751.000000,1.000000
3708620.034923,734.000000,1.000000
3708620.036194,734.000000,1.000000
3708620.036213,750.000000,1.000000
3708620.037482,813.000000,1.000000
3708620.037487,829.000000,1.000000
3708620.040039,830.000000,1.000000
3708620.040042,816.000000,1.000000
3708620.046355,753.000000,1.000000
3708620.046361,735.000000,1.000000
3708620.055167,735.000000,1.000000
3708620.055172,751.000000,1.000000
3708620.061458,814.000000,1.000000
3708620.061461,831.000000,1.000000
3708620.069048,830.000000,1.000000
3708620.069053,815.000000,1.000000
3708620.087717,752.000000,1.000000
3708620.087746,736.000000,1.000000
3708620.087754,736.000000,1.000000
3708620.087755,751.000000,1.000000
3708620.095311,813.000000,1.000000
3708620.095314,831.000000,1.000000
3708620.101660,832.000000,1.000000
3708620.101665,816.000000,1.000000
3708620.110481,753.000000,1.000000
3708620.110485,735.000000,1.000000
3708620.139449,735.000000,1.000000
3708620.139457,752.000000,1.000000
3708620.140724,814.000000,1.000000
3708620.140727,831.000000,1.000000
3708620.141996,832.000000,1.000000
3708620.142000,817.000000,1.000000
3708620.143265,753.000000,1.000000
3708620.143273,736.000000,1.000000
3708620.153349,735.000000,1.000000
3708620.153355,751.000000,1.000000
3708620.157131,815.000000,1.000000
3708620.157134,833.000000,1.000000
3708620.165947,833.000000,1.000000
3708620.165952,817.000000,1.000000
3708620.176019,754.000000,1.000000
3708620.176022,737.000000,1.000000
3708620.182322,737.000000,1.000000
3708620.182328,752.000000,1.000000
3708620.191141,815.000000,1.000000
3708620.191146,832.000000,1.000000
3708620.200051,832.000000,1.000000
3708620.200056,818.000000,1.000000
3708620.205099,755.000000,1.000000
3708620.205103,737.000000,1.000000
3708620.213915,736.000000,1.000000
3708620.213921,751.000000,1.000000
3708620.227834,815.000000,1.000000
3708620.227839,831.000000,1.000000
3708620.230363,833.000000,1.000000
3708620.230366,819.000000,1.000000
3708620.245493,754.000000,1.000000
3708620.245498,737.000000,1.000000
3708620.245504,737.000000,1.000000
3708620.245507,753.000000,1.000000
3708620.264369,818.000000,1.000000
3708620.264373,834.000000,1.000000
3708620.264387,834.000000,1.000000
3708620.264389,817.000000,1.000000
3708620.271879,755.000000,1.000000
3708620.271883,738.000000,1.000000
3708620.278178,737.000000,1.000000
3708620.278181,752.000000,1.000000
3708620.286989,815.000000,1.000000
3708620.286995,832.000000,1.000000
3708620.294560,834.000000,1.000000
3708620.294564,820.000000,1.000000
3708620.320995,754.000000,1.000000
3708620.321003,736.000000,1.000000
3708620.334862,739.000000,1.000000
3708620.334867,753.000000,1.000000
3708620.336138,817.000000,1.000000
3708620.336141,833.000000,1.000000
3708620.337406,834.000000,1.000000
3708620.337409,819.000000,1.000000
3708620.338673,754.000000,1.000000
3708620.338676,737.000000,1.000000
3708620.341215,739.000000,1.000000
3708620.341221,755.000000,1.000000
3708620.348771,817.000000,1.000000
3708620.348776,835.000000,1.000000
3708620.357607,836.000000,1.000000
3708620.357611,822.000000,1.000000
3708620.366436,759.000000,1.000000
3708620.366440,740.000000,1.000000
3708620.380325,740.000000,1.000000
3708620.380331,755.000000,1.000000
3708620.382863,818.000000,1.000000
3708620.382878,835.000000,1.000000
3708620.390443,836.000000,1.000000
3708620.390448,819.000000,1.000000
3708620.409329,756.000000,1.000000
3708620.409333,741.000000,1.000000
3708620.409339,740.000000,1.000000
3708620.409340,754.000000,1.000000
3708620.414394,818.000000,1.000000
3708620.414399,836.000000,1.000000
3708620.420709,835.000000,1.000000
3708620.420713,821.000000,1.000000
3708620.438351,756.000000,1.000000
3708620.438357,739.000000,1.000000
3708620.444650,739.000000,1.000000
3708620.444653,755.000000,1.000000
3708620.444659,818.000000,1.000000
3708620.444662,835.000000,1.000000
3708620.453490,836.000000,1.000000
3708620.453497,821.000000,1.000000
