# participant_id: Blink
# gesture: custom
# trial_number: 5
# stream_name: BioRadio_Configuration
# timestamp: 20260430_100321
# samples: 2580
# duration_sec: 10.310
# nominal_sample_rate: 250.0
# effective_sample_rate: 250.15
#
timestamp,EMG1,GSR2
3708711.056198,625.000000,1.000000
3708711.056203,609.000000,1.000000
3708711.062496,608.000000,1.000000
3708711.062500,624.000000,1.000000
3708711.070043,686.000000,1.000000
3708711.070046,703.000000,1.000000
3708711.078881,704.000000,1.000000
3708711.078887,689.000000,1.000000
3708711.087730,625.000000,1.000000
3708711.087735,607.000000,1.000000
3708711.094022,607.000000,1.000000
3708711.094024,623.000000,1.000000
3708711.102840,687.000000,1.000000
3708711.102843,703.000000,1.000000
3708711.111684,703.000000,1.000000
3708711.111691,689.000000,1.000000
3708711.117988,625.000000,1.000000
3708711.117992,607.000000,1.000000
3708711.126794,607.000000,1.000000
3708711.126797,621.000000,1.000000
3708711.134339,685.000000,1.000000
3708711.134342,703.000000,1.000000
3708711.143224,704.000000,1.000000
3708711.143228,687.000000,1.000000
3708711.150690,625.000000,1.000000
3708711.150695,608.000000,1.000000
3708711.160765,606.000000,1.000000
3708711.160770,622.000000,1.000000
3708711.173340,686.000000,1.000000
3708711.173345,704.000000,1.000000
3708711.175881,704.000000,1.000000
3708711.175895,689.000000,1.000000
3708711.182198,625.000000,1.000000
3708711.182203,608.000000,1.000000
3708711.200726,607.000000,1.000000
3708711.200732,622.000000,1.000000
3708711.200738,686.000000,1.000000
3708711.200744,702.000000,1.000000
3708711.223065,703.000000,1.000000
3708711.223069,686.000000,1.000000
3708711.236906,624.000000,1.000000
3708711.236912,607.000000,1.000000
3708711.238186,607.000000,1.000000
3708711.238217,623.000000,1.000000
3708711.242140,686.000000,1.000000
3708711.242226,703.000000,1.000000
3708711.242273,703.000000,1.000000
3708711.242278,687.000000,1.000000
3708711.248622,623.000000,1.000000
3708711.248637,606.000000,1.000000
3708711.254969,606.000000,1.000000
3708711.254974,621.000000,1.000000
3708711.263790,685.000000,1.000000
3708711.263793,703.000000,1.000000
3708711.271375,702.000000,1.000000
3708711.271385,687.000000,1.000000
3708711.277695,624.000000,1.000000
3708711.277699,606.000000,1.000000
3708711.289040,606.000000,1.000000
3708711.289043,621.000000,1.000000
3708711.295336,685.000000,1.000000
3708711.295339,702.000000,1.000000
3708711.314270,703.000000,1.000000
3708711.314278,687.000000,1.000000
3708711.314284,624.000000,1.000000
3708711.314289,608.000000,1.000000
3708711.318073,607.000000,1.000000
3708711.318079,622.000000,1.000000
3708711.326887,684.000000,1.000000
3708711.326889,702.000000,1.000000
3708711.335781,702.000000,1.000000
3708711.335787,688.000000,1.000000
3708711.340857,625.000000,1.000000
3708711.340862,608.000000,1.000000
3708711.349667,608.000000,1.000000
3708711.349673,623.000000,1.000000
3708711.358485,686.000000,1.000000
3708711.358490,703.000000,1.000000
3708711.367326,703.000000,1.000000
3708711.367332,687.000000,1.000000
3708711.379843,624.000000,1.000000
3708711.379849,608.000000,1.000000
3708711.382375,607.000000,1.000000
3708711.382381,621.000000,1.000000
3708711.393698,686.000000,1.000000
3708711.393701,704.000000,1.000000
3708711.397576,704.000000,1.000000
3708711.397582,689.000000,1.000000
3708711.406413,624.000000,1.000000
3708711.406418,605.000000,1.000000
3708711.415232,605.000000,1.000000
3708711.415238,622.000000,1.000000
3708711.424054,686.000000,1.000000
3708711.424057,704.000000,1.000000
3708711.430384,703.000000,1.000000
3708711.430389,687.000000,1.000000
3708711.437988,624.000000,1.000000
3708711.437993,607.000000,1.000000
3708711.458112,607.000000,1.000000
3708711.458116,621.000000,1.000000
3708711.458122,684.000000,1.000000
3708711.458128,703.000000,1.000000
3708711.461922,703.000000,1.000000
3708711.461928,688.000000,1.000000
3708711.474535,624.000000,1.000000
3708711.474539,606.000000,1.000000
3708711.477063,607.000000,1.000000
3708711.477066,621.000000,1.000000
3708711.487134,684.000000,1.000000
3708711.487140,701.000000,1.000000
3708711.494714,701.000000,1.000000
3708711.494720,688.000000,1.000000
3708711.501021,627.000000,1.000000
3708711.501025,610.000000,1.000000
3708711.527162,609.000000,1.000000
3708711.527167,625.000000,1.000000
3708711.537243,689.000000,1.000000
3708711.537247,709.000000,1.000000
3708711.538510,718.000000,1.000000
3708711.538513,706.000000,1.000000
3708711.539779,649.000000,1.000000
3708711.539781,643.000000,1.000000
3708711.542304,651.000000,1.000000
3708711.542311,679.000000,1.000000
3708711.549856,760.000000,1.000000
3708711.549862,789.000000,1.000000
3708711.558712,797.000000,1.000000
3708711.558717,791.000000,1.000000
3708711.568647,735.000000,1.000000
3708711.568651,719.000000,1.000000
3708711.573701,721.000000,1.000000
3708711.573704,738.000000,1.000000
3708711.583780,803.000000,1.000000
3708711.583783,817.000000,1.000000
3708711.601440,820.000000,1.000000
3708711.601445,804.000000,1.000000
3708711.601451,740.000000,1.000000
3708711.601452,721.000000,1.000000
3708711.607747,720.000000,1.000000
3708711.607752,731.000000,1.000000
3708711.616559,792.000000,1.000000
3708711.616565,804.000000,1.000000
3708711.624146,798.000000,1.000000
3708711.624151,778.000000,1.000000
3708711.634229,710.000000,1.000000
3708711.634232,687.000000,1.000000
3708711.638011,683.000000,1.000000
3708711.638017,693.000000,1.000000
3708711.645561,750.000000,1.000000
3708711.645564,762.000000,1.000000
3708711.655664,758.000000,1.000000
3708711.655679,737.000000,1.000000
3708711.662073,668.000000,1.000000
3708711.662077,648.000000,1.000000
3708711.670891,643.000000,1.000000
3708711.670894,654.000000,1.000000
3708711.679700,713.000000,1.000000
3708711.679703,729.000000,1.000000
3708711.687287,726.000000,1.000000
3708711.687292,708.000000,1.000000
3708711.693619,643.000000,1.000000
3708711.693625,624.000000,1.000000
3708711.702452,622.000000,1.000000
3708711.702458,636.000000,1.000000
3708711.713776,697.000000,1.000000
3708711.713779,714.000000,1.000000
3708711.717577,712.000000,1.000000
3708711.717581,695.000000,1.000000
3708711.736499,630.000000,1.000000
3708711.736503,612.000000,1.000000
3708711.736509,610.000000,1.000000
3708711.736510,623.000000,1.000000
3708711.742881,686.000000,1.000000
3708711.742887,704.000000,1.000000
3708711.761812,704.000000,1.000000
3708711.761820,689.000000,1.000000
3708711.761826,625.000000,1.000000
3708711.761827,606.000000,1.000000
3708711.768129,606.000000,1.000000
3708711.768134,620.000000,1.000000
3708711.776947,683.000000,1.000000
3708711.776951,701.000000,1.000000
3708711.783259,701.000000,1.000000
3708711.783270,686.000000,1.000000
3708711.790826,623.000000,1.000000
3708711.790831,606.000000,1.000000
3708711.797127,605.000000,1.000000
3708711.797133,620.000000,1.000000
3708711.822292,685.000000,1.000000
3708711.822299,701.000000,1.000000
3708711.837388,701.000000,1.000000
3708711.837393,686.000000,1.000000
3708711.838736,622.000000,1.000000
3708711.838741,604.000000,1.000000
3708711.840007,604.000000,1.000000
3708711.840011,620.000000,1.000000
3708711.841279,684.000000,1.000000
3708711.841281,702.000000,1.000000
3708711.847593,701.000000,1.000000
3708711.847603,685.000000,1.000000
3708711.853939,622.000000,1.000000
3708711.853943,605.000000,1.000000
3708711.862765,605.000000,1.000000
3708711.862770,619.000000,1.000000
3708711.876693,683.000000,1.000000
3708711.876698,700.000000,1.000000
3708711.883018,700.000000,1.000000
3708711.883023,685.000000,1.000000
3708711.885572,621.000000,1.000000
