# participant_id: Vert_FL
# gesture: custom
# trial_number: 4
# stream_name: BioRadio_Configuration
# timestamp: 20260430_100259
# samples: 3218
# duration_sec: 12.861
# nominal_sample_rate: 250.0
# effective_sample_rate: 250.13
#
timestamp,EMG1,GSR2
3708686.231906,599.000000,1.000000
3708686.231911,614.000000,1.000000
3708686.236952,678.000000,1.000000
3708686.236957,693.000000,1.000000
3708686.245775,695.000000,1.000000
3708686.245781,680.000000,1.000000
3708686.254598,616.000000,1.000000
3708686.254601,599.000000,1.000000
3708686.263405,600.000000,1.000000
3708686.263412,615.000000,1.000000
3708686.269511,677.000000,1.000000
3708686.269514,694.000000,1.000000
3708686.279742,694.000000,1.000000
3708686.279747,680.000000,1.000000
3708686.289632,616.000000,1.000000
3708686.289639,599.000000,1.000000
3708686.293424,598.000000,1.000000
3708686.293427,614.000000,1.000000
3708686.322362,678.000000,1.000000
3708686.322366,695.000000,1.000000
3708686.336204,697.000000,1.000000
3708686.336208,680.000000,1.000000
3708686.337477,616.000000,1.000000
3708686.337482,599.000000,1.000000
3708686.338748,599.000000,1.000000
3708686.338753,613.000000,1.000000
3708686.341285,676.000000,1.000000
3708686.341289,695.000000,1.000000
3708686.343817,696.000000,1.000000
3708686.343821,681.000000,1.000000
3708686.350128,616.000000,1.000000
3708686.350132,599.000000,1.000000
3708686.357475,599.000000,1.000000
3708686.357481,614.000000,1.000000
3708686.368811,679.000000,1.000000
3708686.368818,696.000000,1.000000
3708686.375128,695.000000,1.000000
3708686.375135,680.000000,1.000000
3708686.383951,616.000000,1.000000
3708686.383956,599.000000,1.000000
3708686.390244,599.000000,1.000000
3708686.390251,612.000000,1.000000
3708686.399051,677.000000,1.000000
3708686.399057,695.000000,1.000000
3708686.407885,695.000000,1.000000
3708686.407889,680.000000,1.000000
3708686.412945,616.000000,1.000000
3708686.412954,599.000000,1.000000
3708686.421786,600.000000,1.000000
3708686.421792,614.000000,1.000000
3708686.430596,677.000000,1.000000
3708686.430599,694.000000,1.000000
3708686.439427,695.000000,1.000000
3708686.439433,680.000000,1.000000
3708686.445733,616.000000,1.000000
3708686.445738,599.000000,1.000000
3708686.455689,599.000000,1.000000
3708686.455693,614.000000,1.000000
3708686.474624,678.000000,1.000000
3708686.474630,695.000000,1.000000
3708686.474636,696.000000,1.000000
3708686.474638,681.000000,1.000000
3708686.480957,617.000000,1.000000
3708686.480961,599.000000,1.000000
3708686.487252,599.000000,1.000000
3708686.487256,615.000000,1.000000
3708686.496062,678.000000,1.000000
3708686.496064,696.000000,1.000000
3708686.504892,695.000000,1.000000
3708686.504898,680.000000,1.000000
3708686.508712,617.000000,1.000000
3708686.508721,600.000000,1.000000
3708686.517535,600.000000,1.000000
3708686.517541,614.000000,1.000000
3708686.526339,679.000000,1.000000
3708686.526342,696.000000,1.000000
3708686.533878,696.000000,1.000000
3708686.533884,681.000000,1.000000
3708686.542742,617.000000,1.000000
3708686.542749,599.000000,1.000000
3708686.551594,600.000000,1.000000
3708686.551598,614.000000,1.000000
3708686.560406,677.000000,1.000000
3708686.560409,695.000000,1.000000
3708686.566713,696.000000,1.000000
3708686.566717,681.000000,1.000000
3708686.574303,617.000000,1.000000
3708686.574307,599.000000,1.000000
3708686.593172,600.000000,1.000000
3708686.593175,615.000000,1.000000
3708686.593182,679.000000,1.000000
3708686.593183,696.000000,1.000000
3708686.599483,696.000000,1.000000
3708686.599489,680.000000,1.000000
3708686.622154,616.000000,1.000000
3708686.622159,599.000000,1.000000
3708686.637185,600.000000,1.000000
3708686.637191,615.000000,1.000000
3708686.638461,678.000000,1.000000
3708686.638467,695.000000,1.000000
3708686.639734,696.000000,1.000000
3708686.639737,681.000000,1.000000
3708686.641005,616.000000,1.000000
3708686.641009,600.000000,1.000000
3708686.646049,600.000000,1.000000
3708686.646055,615.000000,1.000000
3708686.654860,678.000000,1.000000
3708686.654865,695.000000,1.000000
3708686.663692,696.000000,1.000000
3708686.663697,682.000000,1.000000
3708686.670009,618.000000,1.000000
3708686.670013,600.000000,1.000000
3708686.699006,600.000000,1.000000
3708686.699014,615.000000,1.000000
3708686.702754,679.000000,1.000000
3708686.702758,696.000000,1.000000
3708686.704025,695.000000,1.000000
3708686.704028,680.000000,1.000000
3708686.705317,617.000000,1.000000
3708686.705321,599.000000,1.000000
3708686.711619,600.000000,1.000000
3708686.711622,615.000000,1.000000
3708686.720447,678.000000,1.000000
3708686.720453,696.000000,1.000000
3708686.725506,697.000000,1.000000
3708686.725512,681.000000,1.000000
3708686.734329,618.000000,1.000000
3708686.734333,600.000000,1.000000
3708686.748170,598.000000,1.000000
3708686.748176,614.000000,1.000000
3708686.754403,678.000000,1.000000
3708686.754409,696.000000,1.000000
3708686.756977,697.000000,1.000000
3708686.756982,681.000000,1.000000
3708686.770662,617.000000,1.000000
3708686.770666,600.000000,1.000000
3708686.773192,599.000000,1.000000
3708686.773199,614.000000,1.000000
3708686.782004,677.000000,1.000000
3708686.782010,695.000000,1.000000
3708686.790853,696.000000,1.000000
3708686.790858,681.000000,1.000000
3708686.797183,616.000000,1.000000
3708686.797189,600.000000,1.000000
3708686.806000,600.000000,1.000000
3708686.806006,616.000000,1.000000
3708686.814805,679.000000,1.000000
3708686.814809,696.000000,1.000000
3708686.822441,696.000000,1.000000
3708686.822446,681.000000,1.000000
3708686.828747,617.000000,1.000000
3708686.828751,599.000000,1.000000
3708686.837565,598.000000,1.000000
3708686.837568,613.000000,1.000000
3708686.847494,677.000000,1.000000
3708686.847500,695.000000,1.000000
3708686.853857,695.000000,1.000000
3708686.853862,679.000000,1.000000
3708686.865200,616.000000,1.000000
3708686.865205,600.000000,1.000000
3708686.871510,599.000000,1.000000
3708686.871515,613.000000,1.000000
3708686.891681,678.000000,1.000000
3708686.891686,696.000000,1.000000
3708686.891702,696.000000,1.000000
3708686.891703,680.000000,1.000000
3708686.895491,617.000000,1.000000
3708686.895513,600.000000,1.000000
3708686.923008,599.000000,1.000000
3708686.923015,614.000000,1.000000
3708686.935610,677.000000,1.000000
3708686.935616,695.000000,1.000000
3708686.936883,695.000000,1.000000
3708686.936889,679.000000,1.000000
3708686.938153,616.000000,1.000000
3708686.938156,598.000000,1.000000
3708686.941937,599.000000,1.000000
3708686.941944,614.000000,1.000000
3708686.943208,677.000000,1.000000
3708686.943211,694.000000,1.000000
3708686.953280,694.000000,1.000000
3708686.953285,679.000000,1.000000
3708686.957077,615.000000,1.000000
3708686.957081,598.000000,1.000000
3708686.965827,597.000000,1.000000
3708686.965833,612.000000,1.000000
3708686.974556,676.000000,1.000000
3708686.974562,693.000000,1.000000
3708686.983395,693.000000,1.000000
3708686.983400,677.000000,1.000000
3708686.989755,613.000000,1.000000
3708686.989759,597.000000,1.000000
3708686.998584,597.000000,1.000000
3708686.998589,612.000000,1.000000
3708687.017481,676.000000,1.000000
3708687.017485,693.000000,1.000000
3708687.017492,694.000000,1.000000
3708687.017493,679.000000,1.000000
3708687.022552,616.000000,1.000000
3708687.022555,598.000000,1.000000
3708687.032629,597.000000,1.000000
3708687.032634,613.000000,1.000000
3708687.037688,677.000000,1.000000
3708687.037692,695.000000,1.000000
3708687.050132,696.000000,1.000000
3708687.050137,680.000000,1.000000
3708687.053964,616.000000,1.000000
3708687.053968,598.000000,1.000000
3708687.062840,597.000000,1.000000
3708687.062845,613.000000,1.000000
3708687.070388,677.000000,1.000000
3708687.070393,695.000000,1.000000
3708687.076689,695.000000,1.000000
3708687.076693,679.000000,1.000000
3708687.085530,616.000000,1.000000
3708687.085535,599.000000,1.000000
3708687.094397,599.000000,1.000000
3708687.094400,614.000000,1.000000
3708687.104470,678.000000,1.000000
3708687.104475,694.000000,1.000000
3708687.110801,694.000000,1.000000
3708687.110835,679.000000,1.000000
3708687.120899,616.000000,1.000000
3708687.120904,598.000000,1.000000
3708687.127220,598.000000,1.000000
3708687.127223,613.000000,1.000000
3708687.133517,677.000000,1.000000
3708687.133523,694.000000,1.000000
3708687.142347,695.000000,1.000000
