timestamp,ch0,ch1
3708367.75,125,741
3708367.75,107,754
3708367.755,29,819
3708367.755,1,837
3708367.766,0,838
3708367.766,17,822
3708367.77,96,759
3708367.77,123,741
3708367.779,123,740
3708367.779,104,756
3708367.788,26,820
3708367.788,1,838
3708367.794,-1,837
3708367.794,16,823
3708367.803,97,759
3708367.803,121,743
3708367.811,124,742
3708367.811,105,757
3708367.82,26,821
3708367.82,0,838
3708367.827,-1,838
3708367.827,18,823
3708367.836,96,758
3708367.836,122,742
3708367.855,124,741
3708367.855,105,756
3708367.855,26,820
3708367.855,0,837
3708367.857,-2,838
3708367.857,18,822
3708367.867,97,756
3708367.867,122,740
3708367.876,123,740
3708367.876,107,756
3708367.888,26,820
3708367.888,0,837
3708367.891,-1,837
3708367.891,18,821
3708367.899,97,756
3708367.899,122,740
3708367.907,123,741
3708367.907,106,755
3708367.914,27,819
3708367.914,2,837
3708367.925,-1,837
3708367.925,19,823
3708367.931,98,759
3708367.931,121,741
3708367.94,123,741
3708367.94,105,756
3708367.946,28,819
3708367.946,1,835
3708367.974,1,836
3708367.974,18,821
3708367.977,96,757
3708367.977,122,741
3708367.978,122,741
3708367.978,105,756
3708367.979,26,818
3708367.979,0,835
3708367.987,-2,837
3708367.987,18,821
3708367.996,95,757
3708367.996,120,740
3708368.017,122,741
3708368.017,104,755
3708368.031,26,818
3708368.031,-1,835
3708368.032,0,836
3708368.032,17,821
3708368.033,96,758
3708368.033,122,740
3708368.036,123,739
3708368.036,103,755
3708368.044,23,819
3708368.044,1,836
3708368.05,-3,836
3708368.05,14,821
3708368.059,95,758
3708368.059,119,740
3708368.067,120,739
3708368.067,104,753
3708368.074,26,817
3708368.074,1,836
3708368.085,-2,837
3708368.085,16,821
3708368.092,95,758
3708368.092,119,740
3708368.1,123,738
3708368.1,105,754
3708368.107,26,819
3708368.107,-1,838
3708368.115,-2,838
3708368.115,16,822
3708368.134,96,758
3708368.134,120,743
3708368.134,121,743
3708368.134,104,758
3708368.137,25,823
3708368.137,2,839
3708368.146,-1,839
3708368.146,16,824
3708368.16,94,761
3708368.16,120,743
3708368.163,121,742
3708368.163,103,758
3708368.172,24,821
3708368.172,0,839
3708368.179,-1,839
3708368.179,16,824
3708368.187,95,761
3708368.187,120,742
3708368.194,121,743
3708368.194,104,759
3708368.203,26,822
3708368.203,1,839
3708368.211,-1,839
3708368.211,16,825
3708368.218,95,760
3708368.218,120,742
3708368.227,121,742
3708368.227,106,757
3708368.235,26,822
3708368.235,-2,839
3708368.243,0,840
3708368.243,18,824
3708368.249,95,761
3708368.249,120,744
3708368.258,120,744
3708368.258,105,759
3708368.277,26,822
3708368.277,0,838
3708368.277,0,839
3708368.277,16,824
3708368.283,95,762
3708368.283,119,744
3708368.291,120,744
3708368.291,104,759
3708368.317,24,822
3708368.317,-1,838
